,product_name,product_price,product_rating,productPage_link
10,"DELL E-Series 27 inch Full HD LED Backlit IPS Panel with Tilt Adjustment, Slim Bezel, Eye Comfort , Fl...","₹14,999",Null,https://www.flipkart.com/dell-e-series-27-inch-full-hd-led-backlit-ips-panel-tilt-adjustment-slim-bezel-eye-comfort-flicker-free-wide-viewing-angle-monitor-e2723hn/p/itme073d9b438184?pid=MONGGDUEDFJXFZ8U&lid=LSTMONGGDUEDFJXFZ8UDZQ121&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_11&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONGGDUEDFJXFZ8U.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
11,DELL 27 inch Quad HD LED Backlit IPS Panel Monitor (27 QHD Monitor - SE2723DS),"₹21,099",4.8,https://www.flipkart.com/dell-27-inch-quad-hd-led-backlit-ips-panel-monitor-27-qhd-se2723ds/p/itm295bbff8f71af?pid=MONGHGZYRZ4F3F2Z&lid=LSTMONGHGZYRZ4F3F2ZDF0JQR&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_12&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONGHGZYRZ4F3F2Z.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
12,"DELL Alienware 25 inch Full HD LED Backlit IPS Panel with Height, Tilt, Swivel Adjustable Gaming Monit...","₹37,599",5,https://www.flipkart.com/dell-alienware-25-inch-full-hd-led-backlit-ips-panel-height-tilt-swivel-adjustable-gaming-monitor-aw2521hfl/p/itm44e0c472d6e9f?pid=MONGFG99R2EF4UYS&lid=LSTMONGFG99R2EF4UYSJM3VQ9&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_13&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONGFG99R2EF4UYS.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
13,"DELL AW-Series 27 inch WQHD LED Backlit IPS Panel with Vesa Certified HDR 600, Height, Tilt, Swivel Ad...","₹1,08,299",Null,https://www.flipkart.com/dell-aw-series-27-inch-wqhd-led-backlit-ips-panel-vesa-certified-hdr-600-height-tilt-swivel-adjustable-gaming-monitor-aw2721d/p/itmb1c5445ee1c08?pid=MONG6UHUQHDTKGXN&lid=LSTMONG6UHUQHDTKGXNF47JPN&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_14&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONG6UHUQHDTKGXN.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
14,DELL E- SERIES 23.8 inch Full HD LED Backlit IPS Panel Monitor (E Series E2421HN 24-inch (60.45 cm) Sc...,"₹11,799",4.4,https://www.flipkart.com/dell-e-series-23-8-inch-full-hd-led-backlit-ips-panel-monitor-e-e2421hn-24-inch-60-45-cm-screen-1080p-led-lit-panel-hdmi-vga-port/p/itm249d9fbfe4a08?pid=MONFXMMF2J9UDHYM&lid=LSTMONFXMMF2J9UDHYMHHEAQJ&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_15&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONFXMMF2J9UDHYM.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
15,DELL S-Series 25 inch Full HD LED Backlit IPS Panel Gaming Monitor (S2522HG),"₹22,500",4.8,https://www.flipkart.com/dell-s-series-25-inch-full-hd-led-backlit-ips-panel-gaming-monitor-s2522hg/p/itm9dbf4ddd2e2e4?pid=MONG6UHUYZG7BGYU&lid=LSTMONG6UHUYZG7BGYUFM6DEP&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_16&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONG6UHUYZG7BGYU.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
16,DELL 22 inch Full HD LED Backlit VA Panel Monitor (SE2222H),"₹8,399",4.4,https://www.flipkart.com/dell-22-inch-full-hd-led-backlit-va-panel-monitor-se2222h/p/itmff50f1a7a229a?pid=MONG6MQBGTB9FVST&lid=LSTMONG6MQBGTB9FVSTECEXO5&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_17&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONG6MQBGTB9FVST.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
17,DELL P-series 27 inch Full HD LED Backlit IPS Panel Monitor (P2722H),"₹20,499",4.4,https://www.flipkart.com/dell-p-series-27-inch-full-hd-led-backlit-ips-panel-monitor-p2722h/p/itm6d60ac7f9d361?pid=MONG5YMBRAZG7G9S&lid=LSTMONG5YMBRAZG7G9SGRPXRT&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_18&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONG5YMBRAZG7G9S.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
18,"DELL 24 inch HD Monitor (E2422HS - Full HD (1920 x 1080) LED Backlit Monitor - IPS Panel - VGA, HDMI &...","₹13,199",4.2,https://www.flipkart.com/dell-24-inch-hd-monitor-e2422hs-full-1920-x-1080-led-backlit-ips-panel-vga-hdmi-display-port-inbuilt-speakers-height-adjustable-3-years-warranty-black-response-time-10-ms/p/itme6f2d24c42c88?pid=MONG9JG7ZMHWZZGB&lid=LSTMONG9JG7ZMHWZZGB9RDGL7&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_19&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONG9JG7ZMHWZZGB.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
19,"DELL P series 24 inch Full HD LED Backlit IPS Panel Monitor (24"" P2422HE USB-C Hub- IPS Panel, HDMI, D...","₹18,500",4.6,https://www.flipkart.com/dell-p-series-24-inch-full-hd-led-backlit-ips-panel-monitor-24-p2422he-usb-c-hub-panel-hdmi-dp-usb-ports-height-adjustable-pivot/p/itm7fa3a3a6c95f9?pid=MONGADC5PUGJRTZC&lid=LSTMONGADC5PUGJRTZCGRD1EK&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_20&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONGADC5PUGJRTZC.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
20,DELL E-Series 22 inch Full HD LED Backlit TN Panel Monitor (E2221HN),"₹11,599",4.3,https://www.flipkart.com/dell-e-series-22-inch-full-hd-led-backlit-tn-panel-monitor-e2221hn/p/itm374b97c4da9de?pid=MONG3CXFZHCBPEBT&lid=LSTMONG3CXFZHCBPEBTTDPA6X&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_21&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONG3CXFZHCBPEBT.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
21,DELL 21.5 inch Full HD Monitor (E2216HV),"₹10,899",3.9,https://www.flipkart.com/dell-21-5-inch-full-hd-monitor-e2216hv/p/itmehdsqtmqjftap?pid=MONEHDSQNWYKJUHQ&lid=LSTMONEHDSQNWYKJUHQ1R6CLR&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_22&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONEHDSQNWYKJUHQ.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
22,DELL 27 inch Full HD Monitor (E2720HS),"₹15,499",4.4,https://www.flipkart.com/dell-27-inch-full-hd-monitor-e2720hs/p/itmd01f4cedd364a?pid=MONFUZTT6YGGMYT2&lid=LSTMONFUZTT6YGGMYT2A2ZHLO&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_23&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONFUZTT6YGGMYT2.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
23,DELL SE-Series 24 inch Full HD LED Backlit VA Panel Monitor (SE2422H),"₹11,099",4.4,https://www.flipkart.com/dell-se-series-24-inch-full-hd-led-backlit-va-panel-monitor-se2422h/p/itm417a7e768f906?pid=MONG4NSZXZUGZTUC&lid=LSTMONG4NSZXZUGZTUCEFUIKT&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_24&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONG4NSZXZUGZTUC.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
