,Product_name,Product_price,Product_rating,Product_review,Product_page
10,DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-55...,"₹62,990",4.2,181 Ratings & 14 Reviews,https://flipkart.com/search?q=dell+laptop/dell-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-g15-5511-gaming-laptop/p/itm357f38f6c001c?pid=COMGCNDPTF3KU7XW&lid=LSTCOMGCNDPTF3KU7XWJNSAJT&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGCNDPTF3KU7XW.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
11,Lenovo Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN | 81X800LGIN Thin and Lig...,"₹39,990",4.3,446 Ratings & 37 Reviews,https://flipkart.com/search?q=dell+laptop/lenovo-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-81x800j3in-81x800lgin-thin-light-laptop/p/itm1c6de69e1069c?pid=COMGBNFUTNYFZRJQ&lid=LSTCOMGBNFUTNYFZRJQFAMIHE&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_IIcA8TZys88KI8D6NZLy5F5O41wXPKw9XV5O45rRqLprQsJ9baXvlOQfBzLFqhG4Z4c6SCqThmRBBCQ%2FxqbtbQ%3D%3D&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
12,DELL Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 7420 Thin and Light ...,"₹1,07,990",Null,Null,https://flipkart.com/search?q=dell+laptop/dell-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-home-2-graphics-inspiron-7420-thin-light-laptop/p/itm861a3b11978ee?pid=COMGFRHGQM9FRQFX&lid=LSTCOMGFRHGQM9FRQFXDU9EEL&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGFRHGQM9FRQFX.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
13,DELL Inspiron Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 7420 2 in 1 Laptop,"₹80,990",Null,Null,https://flipkart.com/search?q=dell+laptop/dell-inspiron-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-7420-2-1-laptop/p/itm2106df321078a?pid=COMGH8YQTDE657TP&lid=LSTCOMGH8YQTDE657TP6FBJU7&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGH8YQTDE657TP.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
14,DELL Ryzen 3 Quad Core 5425U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light Laptop,"₹43,490",4.4,9 Ratings & 1 Reviews,https://flipkart.com/search?q=dell+laptop/dell-ryzen-3-quad-core-5425u-8-gb-512-gb-ssd-windows-11-home-inspiron-3525-thin-light-laptop/p/itm50e4a401de3f8?pid=COMGF3B77Q3Y5RRQ&lid=LSTCOMGF3B77Q3Y5RRQISKMQD&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGF3B77Q3Y5RRQ.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
15,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹38,699",4.2,"4,605 Ratings & 445 Reviews",https://flipkart.com/search?q=dell+laptop/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=en_IIcA8TZys88KI8D6NZLy5F5O41wXPKw9XV5O45rRqLr0KeKZDo3tiH8E%2FU%2Bh9TG9JeMAOQSfMSeWUdY4CvbFxg%3D%3D&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
16,DELL Ryzen 3 Quad Core 5425U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3425 Thin and Light Laptop,"₹41,490",4.4,43 Ratings & 3 Reviews,https://flipkart.com/search?q=dell+laptop/dell-ryzen-3-quad-core-5425u-8-gb-512-gb-ssd-windows-11-home-vostro-3425-thin-light-laptop/p/itmd0337f7f60741?pid=COMGF478YE3YYPC6&lid=LSTCOMGF478YE3YYPC6HKHQLK&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGF478YE3YYPC6.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
17,DELL Vostro Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3401 Thin and Light Laptop,"₹41,190",4,"2,043 Ratings & 202 Reviews",https://flipkart.com/search?q=dell+laptop/dell-vostro-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-3401-thin-light-laptop/p/itm0b45b63fac02d?pid=COMFYZC5Y4GZYEWN&lid=LSTCOMFYZC5Y4GZYEWNAE8BRJ&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMFYZC5Y4GZYEWN.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
18,DELL Inspiron Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 7420 Thin and Light Laptop,"₹61,390",3.8,10 Ratings & 4 Reviews,https://flipkart.com/search?q=dell+laptop/dell-inspiron-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-7420-thin-light-laptop/p/itm0e0d5f29cbb75?pid=COMGFRHGRETUUUNN&lid=LSTCOMGFRHGRETUUUNNPVWLIX&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGFRHGRETUUUNN.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
19,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,"₹47,039",4.3,"1,598 Ratings & 183 Reviews",https://flipkart.com/search?q=dell+laptop/lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=en_IIcA8TZys88KI8D6NZLy5F5O41wXPKw9XV5O45rRqLrB7B%2B%2FdNFvBxEDTVtt9dX2XvTt63tgAbrE4Akt%2Bfw70g%3D%3D&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
20,DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 14 2-in-1 2 in 1 Laptop,"₹76,519",4.3,3 Ratings & 1 Reviews,https://flipkart.com/search?q=dell+laptop/dell-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-new-inspiron-14-2-in-1-2-1-laptop/p/itmeab1a425437e3?pid=COMGJ75HWZZMXPBJ&lid=LSTCOMGJ75HWZZMXPBJLQTYGW&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGJ75HWZZMXPBJ.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
21,DELL Vostro Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3425 Thin and Light Lap...,"₹52,290",Null,Null,https://flipkart.com/search?q=dell+laptop/dell-vostro-ryzen-5-hexa-core-5625u-8-gb-512-gb-ssd-windows-11-home-3425-thin-light-laptop/p/itm44fe5c294a26e?pid=COMGJ75HXK6KCPVZ&lid=LSTCOMGJ75HXK6KCPVZMOAZCM&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGJ75HXK6KCPVZ.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
22,DELL Inspiron Pentium Silver - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3521 Notebook,"₹32,000",4.1,329 Ratings & 32 Reviews,https://flipkart.com/search?q=dell+laptop/dell-inspiron-pentium-silver-8-gb-256-gb-ssd-windows-11-home-3521-notebook/p/itm8a3845e0d7c3d?pid=COMGCYF92HFJXHTU&lid=LSTCOMGCYF92HFJXHTUAWJIWY&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGCYF92HFJXHTU.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
23,Lenovo Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15IAL7 Thin and Light Laptop,"₹68,543",4.7,3 Ratings & 1 Reviews,https://flipkart.com/search?q=dell+laptop/lenovo-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-15ial7-thin-light-laptop/p/itm69522ab63975c?pid=COMGGR9SQP6QHU64&lid=LSTCOMGGR9SQP6QHU64BBTKEZ&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=en_IIcA8TZys88KI8D6NZLy5F5O41wXPKw9XV5O45rRqLqQE0WAZ%2FtbW6%2FDzerLN5xepE3q1sesry9QrA2g38%2FYwg%3D%3D&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
24,DELL Allienware Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX ...,"₹1,68,990",Null,Null,https://flipkart.com/search?q=dell+laptop/dell-allienware-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3060-alienware-m15-r7-gaming-laptop/p/itmdce12f7d6b76a?pid=COMGJ75HTKUPKZSM&lid=LSTCOMGJ75HTKUPKZSMANYHXG&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=0773beb3-a072-4dca-956a-f55bd9d30262.COMGJ75HTKUPKZSM.SEARCH&ppt=None&ppn=None&ssid=cjei47a3qo0000001676713335654&qH=e336894ec2d276ce
25,DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 3511 Thin an...,"₹63,590",4.3,43 Ratings & 4 Reviews,https://flipkart.com/search?q=dell+laptop/dell-inspiron-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-2-graphics-3511-thin-light-laptop/p/itm5369c4aa85fa0?pid=COMG9NYDSF4N74DN&lid=LSTCOMG9NYDSF4N74DNEUADFA&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=0773beb3-a072-4dca-956a-f55bd9d30262.COMG9NYDSF4N74DN.SEARCH&ppt=None&ppn=None&ssid=cjei47a3qo0000001676713335654&qH=e336894ec2d276ce
26,DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light...,"₹36,690",4.5,11 Ratings & 0 Reviews,https://flipkart.com/search?q=dell+laptop/dell-inspiron-ryzen-3-dual-core-3250u-8-gb-256-gb-ssd-windows-11-home-3525-thin-light-laptop/p/itm2e253d152acdf?pid=COMGF3B7C5GUHB2N&lid=LSTCOMGF3B7C5GUHB2N4D7DQA&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=0773beb3-a072-4dca-956a-f55bd9d30262.COMGF3B7C5GUHB2N.SEARCH&ppt=None&ppn=None&ssid=cjei47a3qo0000001676713335654&qH=e336894ec2d276ce
27,Lenovo Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Light Laptop,"₹33,990",4.2,214 Ratings & 20 Reviews,https://flipkart.com/search?q=dell+laptop/lenovo-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-15itl05-thin-light-laptop/p/itmfeceb3575a35f?pid=COMGHA9RPMRF2BAR&lid=LSTCOMGHA9RPMRF2BARF6GSIV&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_1OGqf3EMFZxRU2NVlOD0SvRTAB0ycb7r%2FUUHdT3GyUuMKJNqaA0FNj%2BpkzzuzEBa%2Fa0YdCGv0u1SDz2lCShgIQ%3D%3D&ppt=None&ppn=None&ssid=cjei47a3qo0000001676713335654&qH=e336894ec2d276ce
28,DELL Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-...,"₹71,990",Null,Null,https://flipkart.com/search?q=dell+laptop/dell-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-rtx-3050-g15-5515-gaming-laptop/p/itm337b5cde6d860?pid=COMG97ARZGJ5NKCJ&lid=LSTCOMG97ARZGJ5NKCJXAXWXP&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=0773beb3-a072-4dca-956a-f55bd9d30262.COMG97ARZGJ5NKCJ.SEARCH&ppt=None&ppn=None&ssid=cjei47a3qo0000001676713335654&qH=e336894ec2d276ce
29,DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop,"₹41,990",4,209 Ratings & 30 Reviews,https://flipkart.com/search?q=dell+laptop/dell-vostro-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-3510-thin-light-laptop/p/itm4026bcf6107a8?pid=COMGBP5FFVGDQFXY&lid=LSTCOMGBP5FFVGDQFXYP0TQHF&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=0773beb3-a072-4dca-956a-f55bd9d30262.COMGBP5FFVGDQFXY.SEARCH&ppt=None&ppn=None&ssid=cjei47a3qo0000001676713335654&qH=e336894ec2d276ce
30,DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light...,"₹38,029",4.2,435 Ratings & 56 Reviews,https://flipkart.com/search?q=dell+laptop/dell-inspiron-ryzen-3-dual-core-3250u-8-gb-256-gb-ssd-windows-11-home-3515-thin-light-laptop/p/itm4f371fbeb2fd6?pid=COMG9NYDXVEFGPSG&lid=LSTCOMG9NYDXVEFGPSGIMQIWE&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_2_31&otracker=search&fm=organic&iid=0773beb3-a072-4dca-956a-f55bd9d30262.COMG9NYDXVEFGPSG.SEARCH&ppt=None&ppn=None&ssid=cjei47a3qo0000001676713335654&qH=e336894ec2d276ce
31,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,"₹33,890",4.2,863 Ratings & 66 Reviews,https://flipkart.com/search?q=dell+laptop/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_2_32&otracker=search&fm=organic&iid=en_1OGqf3EMFZxRU2NVlOD0SvRTAB0ycb7r%2FUUHdT3GyUuHo%2BwnisvJMvDDtiOlaDPWkeDqVolEsrN%2Fd%2FyhPpRpKw%3D%3D&ppt=None&ppn=None&ssid=cjei47a3qo0000001676713335654&qH=e336894ec2d276ce
32,DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) New Inspiron 15 Laptop Thin an...,"₹67,490",Null,Null,https://flipkart.com/search?q=dell+laptop/dell-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-2-graphics-new-inspiron-15-laptop-thin-light/p/itm928f882f2c204?pid=COMGJ75HVGFXHX7H&lid=LSTCOMGJ75HVGFXHX7H241S9C&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_2_33&otracker=search&fm=organic&iid=0773beb3-a072-4dca-956a-f55bd9d30262.COMGJ75HVGFXHX7H.SEARCH&ppt=None&ppn=None&ssid=cjei47a3qo0000001676713335654&qH=e336894ec2d276ce
